card,suite,action,description
A,hearts,"primary-success","[Replace with a major success]"
A,diamonds,"success-bonus","[Replace with a major success]"
A,clubs,"success-bonus","[Replace with a major success]"
A,spades,"success-bonus","[Replace with a major success]"
K,hearts,"failure-token","[Replace with a major failure]"
K,diamonds,"failure-token","[Replace with a major failure]"
K,clubs,"failure-token","[Replace with a major failure]"
K,spades,"failure-token","[Replace with a major failure]"
Q,hearts,"failure-check","[Replace with minor failure]"
Q,diamonds,"failure-check","[Replace with minor failure]"
Q,clubs,"failure-check","[Replace with minor failure]"
Q,spades,"failure-check","[Replace with minor failure]"
J,hearts,"failure-check","[Replace with minor failure]"
J,diamonds,"failure-check","[Replace with minor failure]"
J,clubs,"failure-check","[Replace with minor failure]"
J,spades,"failure-check","[Replace with minor failure]"
2,hearts,"",""
3,hearts,"failure-check","[Replace with minor failure]"
4,hearts,"",""
5,hearts,"failure-check","[Replace with minor failure]"
6,hearts,"",""
7,hearts,"failure-check","[Replace with minor failure]"
8,hearts,"",""
9,hearts,"failure-check","[Replace with minor failure]"
10,hearts,"",""
2,diamonds,"",""
3,diamonds,"failure-check","[Replace with minor failure]"
4,diamonds,"",""
5,diamonds,"failure-check","[Replace with minor failure]"
6,diamonds,"",""
7,diamonds,"failure-check","[Replace with minor failure]"
8,diamonds,"",""
9,diamonds,"failure-check","[Replace with minor failure]"
10,diamonds,"",""
2,clubs,"",""
3,clubs,"failure-check","[Replace with minor failure]"
4,clubs,"",""
5,clubs,"failure-check","[Replace with minor failure]"
6,clubs,"",""
7,clubs,"failure-check","[Replace with minor failure]"
8,clubs,"",""
9,clubs,"failure-check","[Replace with minor failure]"
10,clubs,"",""
2,spades,"",""
3,spades,"failure-check","[Replace with minor failure]"
4,spades,"",""
5,spades,"failure-check","[Replace with minor failure]"
6,spades,"",""
7,spades,"failure-check","[Replace with minor failure]"
8,spades,"",""
9,spades,"failure-check","[Replace with minor failure]"
10,spades,"",""
