card,suit,description
A,hearts,"You find a survivor who knows how to repair the time machine."
A,diamonds,"You discover a hidden stash of resources."
A,clubs,"You find a map of the city, helping you navigate safely."
A,spades,"You manage to repair a crucial part of your time machine."
K,hearts,"A group of hostile survivors has spotted you."
K,diamonds,"Your stash of resources is stolen."
K,clubs,"You get lost in a dangerous part of the city."
K,spades,"The time machine suffers a major malfunction."
Q,hearts,"You meet a survivor who offers to help you."
Q,diamonds,"You find a well-stocked abandoned shop."
Q,clubs,"You discover a safe route through a dangerous part of the city."
Q,spades,"You find a piece of technology that can aid in your time machine's repair."
J,hearts,"A survivor you trusted betrays you."
J,diamonds,"A valuable item you found turns out to be useless."
J,clubs,"You accidentally wander into a dangerous part of the city."
J,spades,"A piece of your time machine breaks down."
2,hearts,"You encounter a helpful survivor."
3,hearts,"You're betrayed by a survivor you trusted."
4,hearts,"A survivor offers to trade useful items."
5,hearts,"A group of survivors tries to steal your supplies."
6,hearts,"A survivor shares valuable information about the city."
7,hearts,"You're caught in a dispute between survivor factions."
8,hearts,"You find a survivor who can repair a part of your time machine."
9,hearts,"You're injured in a fight with a survivor."
10,hearts,"A survivor helps you find a safe route through a dangerous area."
2,diamonds,"You discover a cache of useful tools."
3,diamonds,"You find a stash of spoiled food."
4,diamonds,"You find a map of the city."
5,diamonds,"A valuable item you found breaks."
6,diamonds,"You find a working vehicle."
7,diamonds,"You accidentally lose some of your supplies."
8,diamonds,"You find a source of clean water."
9,diamonds,"You're exposed to harmful radiation while scavenging."
10,diamonds,"You're given food by another survivor while scavenging."
2,clubs,"You find an abandoned house with some food still inside."
3,clubs,"You fall into a trap set by other survivors."
4,clubs,"You discover a shortcut through the city."
5,clubs,"You're chased by a pack of mutated animals."
6,clubs,"You find a safe hideout."
7,clubs,"You're caught in a territorial dispute between survivor groups."
8,clubs,"You find a hidden underground bunker."
9,clubs,"You're trapped in a collapsed building."
10,clubs,"You find a safe route through a dangerous area."
2,spades,"You find a blueprint of the time machine."
3,spades,"A piece of your time machine malfunctions."
4,spades,"You find a working computer."
5,spades,"A malfunctioning robot attacks you."
6,spades,"You manage to deactivate a dangerous AI."
7,spades,"You're caught in a toxic gas leak."
8,spades,"You find a complete toolkit for your time machine."
9,spades,"You're pursued by a rogue AI."
10,spades,"You find some helpful parts among some ruined buildings."
